Application ID,Application Type,Customer ID,Group Name ID,Action,RM ID,Entered Date,Closed Date,Next Review Date,Product ID,Start Date,Term (mths),Expiry Date,Rate Applied,Margin Agreed,Capital,Annual Interest Income,Collateral Start Date,Collateral Type,Face Value,Conversion Factor,Rating,Limits Rating,Expected Loss,Covenants,Covenant Type,Application Error
ID1230,Dealer,IFR169,GRP517,Straight,RM2028,2015-03-03,2015-04-15,2016-04-14,PRD019,2015-04-15,12,2016-04-15,1.69,0.23,2250000,43199.99999999999,2001-12-16,Tripartite Deed/Agreement,11700000,1.0,6,3,750000.0,Financial,Extended,No Error
ID1040,Dealer,IFR195,GRP517,Existing,RM2011,2015-03-06,2015-05-19,2016-05-18,PRD004,2015-05-19,12,2016-05-19,2.09,0.25,2810000,65753.99999999999,2009-04-25,Bill of Sale over business assets,14000000,0.4,6,12,234166.66666666666,Conditions Precedent,Non Waiver,No Error
ID1118,Dealer,IFR117,GRP501,New,RM2036,2015-03-07,2015-05-24,2016-05-23,PRD008,2015-05-24,36,2018-05-26,2.66,0.35,4570000,137557.0,2015-11-17,Term Deposit at the bank.,24900000,0.75,3,8,571250.0,Reporting,Complied,No Error
ID1433,Dealer,IFR119,GRP511,Existing,RM2017,2015-03-07,2015-05-11,2016-05-10,PRD009,2015-05-11,24,2017-05-12,3.65,0.25,1170000,45630.0,2005-03-31,Tripartite Deed/Agreement,8500000,0.8,2,1,1170000.0,Financial,Extended,No Error
ID1091,Corporate,IFR108,GRP515,Review,RM2029,2015-03-12,2015-04-22,2016-04-21,PRD014,2015-04-22,12,2016-04-22,3.63,0.17,1610000,61180.0,2003-12-24,Ships Mortgage,3700000,0.7,6,7,230000.0,Reporting,Extended,No Error
ID1162,Dealer,IFR157,GRP515,New,RM2025,2015-03-14,2015-04-27,2016-04-26,PRD001,2015-04-27,24,2017-04-28,1.92,0.21,610000,12993.0,2008-09-05,Term Deposit at the bank.,8100000,1.0,4,3,203333.33333333334,Financial,Complied,No Error
ID1323,Dealer,IFR164,GRP517,New,RM2006,2015-03-16,2015-04-06,2016-04-05,PRD001,2015-04-06,24,2017-04-07,2.67,0.13,440000,12319.999999999998,2015-09-20,Mortgage over life insurance,23900000,1.0,6,3,146666.66666666666,Financial,Extended,No Error
ID1472,Commercial,IFR116,GRP517,New,RM2027,2015-03-16,2015-04-09,2016-04-08,PRD018,2015-04-09,48,2019-04-12,3.36,0.25,1630000,58843.0,2002-07-12,Transfer of Mortgage over Real Property,15500000,0.4,3,9,181111.11111111112,Conditions Subsequent,Breached,No Error
ID1225,Property Development,IFR113,GRP516,Existing,RM2029,2015-03-23,2015-07-15,2016-07-14,PRD017,2015-07-15,36,2018-07-17,3.63,0.5,530000,21888.999999999996,2009-03-15,Fixed and Floating Charge (Cashflow lending),11500000,0.5,1,5,106000.0,Reporting,Complied,No Error
ID1263,Dealer,IFR120,GRP500,Straight,RM2026,2015-03-23,2015-05-28,2016-05-27,PRD008,2015-05-28,12,2016-05-28,2.64,0.48,3630000,113256.00000000001,2013-09-16,Crop Lien,22500000,0.7,3,2,1815000.0,Financial,Extended,No Error
ID1029,Corporate,IFR160,GRP514,Straight,RM2004,2015-03-28,2015-05-20,2016-05-19,PRD002,2015-05-20,12,2016-05-20,2.74,0.26,5660000,169800.0,2005-06-17,General Mortgage/Lien,18100000,0.75,6,5,1132000.0,Reporting,Non Waiver,No Error
ID1235,Property Development,IFR194,GRP511,New,RM2028,2015-03-29,2015-08-06,2016-08-05,PRD003,2015-08-06,48,2019-08-09,1.97,0.13,6290000,132090.0,2001-12-25,Fixed Company Charge,11400000,0.8,6,6,1048333.3333333334,Reporting,Non Waiver,No Error
ID1495,Dealer,IFR135,GRP502,New,RM2037,2015-03-29,2015-07-12,2016-07-11,PRD006,2015-07-12,12,2016-07-12,2.31,0.49,1850000,51799.99999999999,2016-08-27,Bill of Sale over a Motor Vehicle,14200000,0.4,4,5,370000.0,Reporting,Extended,No Error
ID1290,Commercial,IFR114,GRP505,Existing,RM2021,2015-04-02,2015-05-05,2016-05-04,PRD001,2015-05-05,48,2019-05-08,2.2,0.24,6580000,160552.00000000003,2010-07-27,Bill of Sale over a Motor Vehicle,8100000,1.0,6,11,598181.8181818182,Conditions Precedent,Complied,No Error
ID1429,Commercial,IFR115,GRP514,New,RM2033,2015-04-06,2015-07-22,2016-07-21,PRD004,2015-07-22,24,2017-07-23,3.01,0.32,1350000,44954.99999999999,2012-09-03,Mortgage over life insurance,6000000,0.75,6,12,112500.0,Conditions Precedent,Extended,No Error
ID1156,Corporate,IFR113,GRP516,New,RM2024,2015-04-07,2015-07-08,2016-07-07,PRD017,2015-07-08,12,2016-07-08,3.15,0.21,480000,16127.999999999998,2009-03-15,Mortgage over Real Property (Industrial),6500000,0.4,1,6,80000.0,Reporting,Non Waiver,No Error
ID1220,Dealer,IFR125,GRP514,New,RM2030,2015-04-09,2015-06-28,2016-06-27,PRD004,2015-06-28,6,2015-12-28,3.7,0.2,4410000,171990.00000000003,2013-11-19,Commercial Property,12700000,0.75,5,5,882000.0,Reporting,Complied,No Error
ID1334,Dealer,IFR117,GRP501,Review,RM2009,2015-04-09,2015-05-04,2016-05-03,PRD019,2015-05-04,48,2019-05-07,2.92,0.46,6450000,218009.99999999997,2015-11-17,Bill of Sale over a Post Office licence,10100000,1.0,4,4,1612500.0,Reporting,Non Waiver,Error
ID1305,Dealer,IFR193,GRP516,Existing,RM2021,2015-04-10,2015-08-14,2016-08-13,PRD014,2015-08-14,12,2016-08-14,2.66,0.23,5720000,165308.0,2013-07-19,Transfer of Mortgage over a Lease,7400000,0.8,6,4,1430000.0,Reporting,Complied,No Error
ID1056,Commercial,IFR150,GRP514,Review,RM2005,2015-04-11,2015-08-01,2016-07-31,PRD018,2015-08-01,12,2016-08-01,2.83,0.29,2590000,80808.0,2013-11-02,Limited Guarantee and Indemnity (unsupported),7800000,0.75,6,7,370000.0,Reporting,Complied,No Error
ID1463,Dealer,IFR114,GRP505,Existing,RM2032,2015-04-12,2015-06-17,2016-06-16,PRD006,2015-06-17,24,2017-06-18,2.6,0.25,6510000,185535.0,2010-07-27,Mortgage over Real Property (Commercial),20200000,0.75,1,6,1085000.0,Reporting,Breached,No Error
ID1086,Dealer,IFR195,GRP517,Straight,RM2011,2015-04-13,2015-07-07,2016-07-06,PRD020,2015-07-07,24,2017-07-08,3.54,0.33,640000,24768.0,2009-04-25,Limited Cross Guarantee and Indemnity (supported),9000000,1.0,6,6,106666.66666666667,Reporting,Extended,No Error
ID1268,Commercial,IFR154,GRP514,Existing,RM2019,2015-04-13,2015-05-28,2016-05-27,PRD006,2015-05-28,24,2017-05-29,3.24,0.37,3170000,114437.0,2007-03-26,Transfer of Mortgage over a Lease,12000000,1.0,4,8,396250.0,Conditions Subsequent,Complied,No Error
ID1011,Commercial,IFR156,GRP505,Existing,RM2038,2015-04-14,2015-05-28,2016-05-27,PRD006,2015-05-28,12,2016-05-28,3.42,0.21,4420000,160446.0,2014-04-06,Fixed and Floating Company Charge,22600000,0.75,4,5,884000.0,Reporting,Complied,No Error
ID1265,Property Development,IFR194,GRP511,New,RM2021,2015-04-18,2015-05-06,2016-05-05,PRD003,2015-05-06,60,2020-05-09,2.95,0.46,620000,21142.0,2001-12-25,Bill of Sale over business assets,14400000,0.4,4,7,88571.42857142857,Reporting,Breached,No Error
ID1236,Dealer,IFR129,GRP500,Straight,RM2001,2015-04-19,2015-05-24,2016-05-23,PRD008,2015-05-24,12,2016-05-24,1.67,0.47,3120000,66767.99999999999,2003-12-29,Commercial Property,16900000,0.75,5,4,780000.0,Reporting,Complied,No Error
ID1264,Commercial,IFR163,GRP500,Existing,RM2019,2015-04-19,2015-07-27,2016-07-26,PRD011,2015-07-27,12,2016-07-27,2.37,0.47,4990000,141716.0,2002-09-08,Fixed and Floating Charge (Cashflow lending),9900000,0.7,1,4,1247500.0,Reporting,Complied,No Error
ID1488,Dealer,IFR198,GRP511,Existing,RM2014,2015-04-19,2015-06-25,2016-06-24,PRD019,2015-06-25,12,2016-06-25,1.62,0.4,1030000,20806.0,2007-09-16,Limited Cross Guarantee and Indemnity (supported),18200000,0.8,5,7,147142.85714285713,Reporting,Breached,No Error
ID1285,Corporate,IFR100,GRP500,Review,RM2002,2015-04-23,2015-08-31,2016-08-30,PRD004,2015-08-31,12,2016-08-31,2.93,0.33,1980000,64548.00000000001,2016-08-20,Limited Guarantee and Indemnity (supported),23500000,0.5,4,3,660000.0,Financial,Extended,No Error
ID1452,Property Development,IFR162,GRP514,Existing,RM2031,2015-04-23,2015-06-28,2016-06-27,PRD007,2015-06-28,48,2019-07-01,2.32,0.48,4140000,115919.99999999999,2005-04-01,Fixed Company Charge,5100000,0.75,3,6,690000.0,Reporting,Breached,No Error
ID1088,Corporate,IFR151,GRP517,Existing,RM2027,2015-04-24,2015-08-29,2016-08-28,PRD013,2015-08-29,60,2020-09-01,3.67,0.26,4000000,157199.99999999997,2015-09-19,Bill of Sale over specific business assets,15200000,0.75,3,10,400000.0,Conditions Precedent,Complied,No Error
ID1139,Dealer,IFR161,GRP507,Review,RM2013,2015-04-24,2015-08-06,2016-08-05,PRD003,2015-08-06,12,2016-08-06,3.6,0.38,4090000,162782.0,2010-05-10,Traded Equities,2800000,0.75,2,5,818000.0,Reporting,Complied,No Error
ID1388,Dealer,IFR103,GRP505,Existing,RM2030,2015-04-24,2015-07-17,2016-07-16,PRD019,2015-07-17,12,2016-07-17,3.68,0.28,6300000,249479.99999999997,2005-04-29,Mortgage over a lease,20600000,0.4,4,9,700000.0,Conditions Subsequent,Complied,Error
ID1367,Dealer,IFR108,GRP515,Existing,RM2028,2015-04-26,2015-08-01,2016-07-31,PRD009,2015-08-01,36,2018-08-03,3.51,0.41,2210000,86632.0,2003-12-24,Term Deposit at the bank.,23000000,0.7,1,6,368333.3333333333,Reporting,Breached,No Error
ID1181,Dealer,IFR181,GRP505,New,RM2004,2015-04-27,2015-08-29,2016-08-28,PRD016,2015-08-29,48,2019-09-01,3.37,0.24,4700000,169670.0,2004-08-16,Bill of Sale over a Motor Vehicle,3400000,0.75,6,5,940000.0,Reporting,Extended,No Error
ID1322,Dealer,IFR111,GRP502,New,RM2037,2015-04-27,2015-06-28,2016-06-27,PRD004,2015-06-28,24,2017-06-29,3.4,0.41,1240000,47244.0,2016-09-29,Bill of Sale over a Motor Vehicle,9000000,0.4,2,10,124000.0,Conditions Precedent,Breached,No Error
ID1150,Dealer,IFR177,GRP516,Straight,RM2024,2015-05-01,2015-05-20,2016-05-19,PRD008,2015-05-20,24,2017-05-21,1.87,0.45,4780000,110896.00000000001,2010-09-18,Mortgage over Real Property (Industrial),20300000,0.5,1,7,682857.1428571428,Reporting,Extended,Error
ID1346,Dealer,IFR107,GRP502,Existing,RM2005,2015-05-01,2015-08-16,2016-08-15,PRD009,2015-08-16,48,2019-08-19,2.72,0.32,3360000,102144.0,2008-02-25,Limited Cross Guarantee and Indemnity (supported),4200000,0.8,5,7,480000.0,Reporting,Extended,No Error
ID1398,Commercial,IFR136,GRP502,New,RM2015,2015-05-02,2015-09-05,2016-09-04,PRD005,2015-09-05,48,2019-09-08,1.79,0.47,1460000,32996.0,2014-07-20,Collateral Type Desc,12600000,0.5,4,6,243333.33333333334,Reporting,Complied,No Error
ID1038,Corporate,IFR118,GRP514,Existing,RM2013,2015-05-09,2015-08-25,2016-08-24,PRD007,2015-08-25,12,2016-08-25,3.69,0.19,5960000,231248.0,2002-06-14,Mortgage over a lease,7100000,1.0,5,3,1986666.6666666667,Financial,Extended,Error
ID1248,Property Development,IFR172,GRP515,Existing,RM2019,2015-05-09,2015-05-24,2016-05-23,PRD003,2015-05-24,12,2016-05-24,1.83,0.35,2600000,56680.0,2007-12-03,General Mortgage/Lien,14100000,0.75,2,7,371428.5714285714,Reporting,Extended,No Error
ID1048,Commercial,IFR110,GRP505,Existing,RM2001,2015-05-10,2015-08-19,2016-08-18,PRD005,2015-08-19,24,2017-08-20,1.9,0.48,5370000,127805.99999999999,2010-05-19,Term Deposit at the bank.,2200000,0.7,6,8,671250.0,Conditions Subsequent,Extended,No Error
ID1222,Dealer,IFR187,GRP510,Straight,RM2013,2015-05-12,2015-06-27,2016-06-26,PRD013,2015-06-27,36,2018-06-29,2.2,0.31,5950000,149345.0,2013-04-11,Transfer of Mortgage over Real Property,9300000,0.75,1,10,595000.0,Conditions Precedent,Extended,No Error
ID1365,Commercial,IFR187,GRP510,Review,RM2029,2015-05-14,2015-06-02,2016-06-01,PRD013,2015-06-02,36,2018-06-04,3.25,0.2,5550000,191475.00000000003,2013-04-11,Mortgage over Real Property (Industrial),4500000,0.4,6,9,616666.6666666666,Conditions Subsequent,Complied,No Error
ID1017,Dealer,IFR105,GRP501,Review,RM2028,2015-05-19,2015-08-11,2016-08-10,PRD005,2015-08-11,12,2016-08-11,3.4,0.1,1090000,38150.0,2004-01-03,Mortgage over a lease,22600000,1.0,2,2,545000.0,Financial,Extended,No Error
ID1064,Commercial,IFR195,GRP517,Existing,RM2009,2015-05-21,2015-08-17,2016-08-16,PRD013,2015-08-17,12,2016-08-17,1.75,0.49,3030000,67872.00000000001,2009-04-25,Mortgage over a lease,22500000,0.4,3,6,505000.0,Reporting,Complied,No Error
ID1298,Property Development,IFR138,GRP514,Existing,RM2018,2015-05-21,2015-07-20,2016-07-19,PRD004,2015-07-20,24,2017-07-21,3.68,0.13,5340000,203454.0,2001-12-02,Gold Deposit,12900000,0.4,3,10,534000.0,Conditions Precedent,Complied,No Error
ID1089,Commercial,IFR152,GRP500,New,RM2020,2015-05-27,2015-09-27,2016-09-26,PRD015,2015-09-27,12,2016-09-27,1.83,0.32,2120000,45579.99999999999,2006-02-11,Fixed Company Charge,24700000,0.4,2,6,353333.3333333333,Reporting,Non Waiver,No Error
ID1434,Dealer,IFR132,GRP517,Existing,RM2006,2015-05-29,2015-10-05,2016-10-04,PRD008,2015-10-05,12,2016-10-05,2.54,0.16,3240000,87480.00000000001,2013-01-26,Traded Equities,13400000,0.8,1,8,405000.0,Reporting,Extended,No Error
ID1428,Dealer,IFR134,GRP501,Existing,RM2034,2015-05-30,2015-07-17,2016-07-16,PRD019,2015-07-17,24,2017-07-18,1.72,0.24,5800000,113680.0,2010-07-10,Transfer of Mortgage over Real Property,9800000,0.75,4,6,966666.6666666666,Reporting,Complied,No Error
ID1008,Dealer,IFR127,GRP517,New,RM2022,2015-06-01,2015-08-30,2016-08-29,PRD012,2015-08-30,48,2019-09-02,3.74,0.19,3030000,119079.0,2005-12-03,Mortgage over Real Property (Commercial),17600000,0.75,3,6,505000.0,Reporting,Complied,No Error
ID1283,Commercial,IFR111,GRP502,Review,RM2002,2015-06-02,2015-07-06,2016-07-05,PRD004,2015-07-06,12,2016-07-06,2.48,0.41,810000,23409.0,2016-09-29,General Mortgage/Lien,18000000,0.75,5,6,135000.0,Reporting,Complied,No Error
ID1106,Dealer,IFR122,GRP511,Existing,RM2021,2015-06-05,2015-10-13,2016-10-12,PRD010,2015-10-13,6,2016-04-13,2.53,0.29,240000,6768.0,2009-09-26,Mortgage over Real Property (Commercial),13000000,1.0,4,6,40000.0,Reporting,Non Waiver,No Error
ID1467,Dealer,IFR167,GRP516,Existing,RM2014,2015-06-05,2015-08-09,2016-08-08,PRD016,2015-08-09,6,2016-02-08,3.56,0.37,6140000,241302.0,2014-01-24,General Mortgage/Lien,12600000,1.0,6,6,1023333.3333333334,Reporting,Complied,No Error
ID1491,Property Development,IFR195,GRP517,Existing,RM2032,2015-06-05,2015-07-05,2016-07-04,PRD010,2015-07-05,60,2020-07-08,3.74,0.11,3410000,131285.0,2009-04-25,Bank Guarantee by Australian Financial Institution,23800000,0.75,2,5,682000.0,Reporting,Complied,No Error
ID1098,Dealer,IFR174,GRP511,Existing,RM2027,2015-06-07,2015-07-08,2016-07-07,PRD016,2015-07-08,24,2017-07-09,2.61,0.42,1530000,46358.99999999999,2006-01-23,Bill of Sale over business assets,4900000,1.0,3,2,765000.0,Financial,Extended,No Error
